Date,Open,High,Low,Close,Volume,Adj Close
2012-02-29,5927.90,5944.80,5871.50,5871.50,1201161000,5871.50
2012-02-28,5915.60,5937.00,5900.00,5927.90,804670300,5927.90
2012-02-27,5935.10,5935.10,5865.90,5915.60,966771100,5915.60
2012-02-24,5937.90,5964.00,5925.50,5935.10,1010948400,5935.10
2012-02-23,5916.60,5952.50,5900.50,5937.90,1071356900,5937.90
2012-02-22,5928.20,5938.00,5894.60,5916.60,872089000,5916.60
2012-02-21,5945.30,5948.80,5916.60,5928.20,846269200,5928.20
2012-02-20,5905.10,5956.30,5905.10,5945.30,723669700,5945.30
2012-02-17,5885.40,5923.60,5885.40,5905.10,1101911000,5905.10
2012-02-16,5892.20,5892.40,5829.40,5885.40,751180400,5885.40
2012-02-15,5899.90,5923.80,5880.60,5892.20,801550200,5892.20
2012-02-14,5905.70,5920.60,5877.20,5899.90,832567200,5899.90
2012-02-13,5852.40,5920.10,5852.40,5905.70,641643100,5905.70
2012-02-10,5895.50,5895.50,5839.90,5852.40,948790300,5852.40
2012-02-09,5875.90,5916.30,5870.60,5895.50,973462200,5895.50
2012-02-08,5890.30,5916.20,5871.30,5875.90,809267800,5875.90
2012-02-07,5892.20,5906.70,5850.50,5890.30,785340700,5890.30
2012-02-06,5901.10,5901.10,5863.60,5892.20,828464600,5892.20
2012-02-03,5796.10,5901.10,5784.20,5901.10,1156774200,5901.10
2012-02-02,5790.70,5809.80,5765.70,5796.10,967388600,5796.10
2012-02-01,5681.60,5790.70,5680.70,5790.70,985247100,5790.70
2012-01-31,5671.10,5730.30,5671.10,5681.60,1018319100,5681.60
2012-01-30,5733.50,5733.50,5651.60,5671.10,778100000,5671.10
2012-01-27,5795.20,5795.20,5729.00,5733.50,790045200,5733.50
2012-01-26,5723.00,5806.20,5722.80,5795.20,874328700,5795.20
2012-01-25,5751.90,5777.70,5694.10,5723.00,884691100,5723.00
2012-01-24,5782.60,5782.60,5719.90,5751.90,916105000,5751.90
2012-01-23,5728.60,5789.90,5723.10,5782.60,852459600,5782.60
2012-01-20,5741.20,5749.80,5721.60,5728.60,1315166200,5728.60
2012-01-19,5702.40,5743.90,5693.20,5741.20,1404271200,5741.20
2012-01-18,5694.00,5709.90,5647.90,5702.40,792321000,5702.40
2012-01-17,5657.40,5724.40,5657.40,5694.00,1232187300,5694.00
2012-01-16,5636.60,5662.90,5609.90,5657.40,672822900,5657.40
2012-01-13,5662.40,5709.20,5583.50,5636.60,1318584400,5636.60
2012-01-12,5670.80,5699.60,5640.30,5662.40,1382096100,5662.40
2012-01-11,5696.70,5700.80,5644.80,5670.80,893410000,5670.80
2012-01-10,5612.30,5711.90,5612.30,5696.70,865034500,5696.70
2012-01-09,5649.70,5673.80,5604.60,5612.30,785646100,5612.30
2012-01-06,5624.30,5682.80,5623.40,5649.70,705018100,5649.70
2012-01-05,5668.50,5689.30,5614.40,5624.30,794279400,5624.30
2012-01-04,5699.90,5719.80,5646.40,5668.50,696937800,5668.50
2012-01-03,5572.30,5699.90,5572.30,5699.90,778529200,5699.90
2012-01-02,5572.30,5572.30,5572.30,5572.30,000,5572.30
2011-12-30,5566.80,5588.40,5535.20,5572.30,188110800,5572.30
2011-12-29,5507.40,5566.80,5496.90,5566.80,325749000,5566.80
2011-12-28,5512.70,5567.90,5491.00,5507.40,449839700,5507.40
2011-12-27,5512.70,5512.70,5512.70,5512.70,000,5512.70
2011-12-26,5512.70,5512.70,5512.70,5512.70,000,5512.70
2011-12-23,5457.00,5516.60,5457.00,5512.70,204750100,5512.70
2011-12-22,5389.70,5469.00,5389.70,5457.00,610838400,5457.00
2011-12-21,5419.60,5479.20,5371.70,5389.70,803794200,5389.70
2011-12-20,5365.00,5426.30,5328.70,5419.60,779731400,5419.60
2011-12-19,5387.30,5410.10,5343.10,5365.00,632321300,5365.00
2011-12-16,5400.90,5452.70,5387.30,5387.30,1273215100,5387.30
2011-12-15,5366.80,5434.00,5366.80,5400.90,803271700,5400.90
2011-12-14,5490.20,5490.20,5366.80,5366.80,860719700,5366.80
2011-12-13,5427.90,5526.00,5413.70,5490.20,757732000,5490.20
2011-12-12,5529.20,5529.20,5427.90,5427.90,801332300,5427.90
2011-12-09,5483.80,5540.50,5440.90,5529.20,841432700,5529.20
2011-12-08,5546.90,5605.30,5483.80,5483.80,907438000,5483.80
2011-12-07,5568.70,5631.90,5498.00,5546.90,932154800,5546.90
2011-12-06,5568.00,5593.00,5521.90,5568.70,857312600,5568.70
2011-12-05,5552.30,5602.80,5545.90,5568.00,900658000,5568.00
2011-12-02,5489.30,5595.50,5489.10,5552.30,984099700,5552.30
2011-12-01,5505.40,5553.90,5486.90,5489.30,939174800,5489.30
2011-11-30,5337.00,5539.00,5275.00,5505.40,1647245500,5505.40
2011-11-29,5312.80,5344.20,5272.40,5337.00,794447300,5337.00
2011-11-28,5164.70,5327.80,5164.70,5312.80,897909200,5312.80
2011-11-25,5127.60,5200.30,5075.20,5164.70,733865300,5164.70
2011-11-24,5139.80,5184.30,5099.00,5127.60,856420500,5127.60
2011-11-23,5206.80,5206.80,5139.80,5139.80,1009698000,5139.80
2011-11-22,5222.60,5282.00,5206.80,5206.80,914555700,5206.80
2011-11-21,5362.90,5362.90,5221.70,5222.60,952410000,5222.60
2011-11-18,5423.10,5423.10,5347.90,5362.90,826014000,5362.90
2011-11-17,5509.00,5509.00,5366.10,5423.10,1059574700,5423.10
2011-11-16,5517.40,5562.90,5450.20,5509.00,941320000,5509.00
2011-11-15,5519.00,5551.40,5428.60,5517.40,841524400,5517.40
2011-11-14,5545.40,5575.20,5489.30,5519.00,687675200,5519.00
2011-11-11,5444.80,5548.80,5439.80,5545.40,715717500,5545.40
2011-11-10,5460.40,5497.20,5360.20,5444.80,799967700,5444.80
2011-11-09,5567.30,5615.80,5426.30,5460.40,1074260600,5460.40
2011-11-08,5510.80,5616.00,5509.60,5567.30,885001700,5567.30
